id,date,address,ward,trees,source,year
201000889,2011-06-13 12:00:00,3047 W WASHINGTON BLVD,27,1,dss,2011.0
201003533,2011-06-13 12:00:00,2942 W ADAMS ST,27,1,dss,2011.0
201001364,2011-06-13 12:00:00,2819 W WILCOX ST,27,1,dss,2011.0
201001294,2011-06-13 12:00:00,2716 W MONROE ST,27,1,dss,2011.0
201100103,2011-06-13 12:00:00,1722 W 17TH ST,25,1,dss,2011.0
201101380,2011-06-14 12:00:00,2755 W ADAMS ST,27,1,dss,2011.0
201006001,2011-06-14 12:00:00,1356 W GRENSHAW ST,28,1,dss,2011.0
201003337,2011-06-14 12:00:00,2238 W ADAMS ST,27,1,dss,2011.0
201001126,2011-06-15 12:00:00,2554 W 45TH ST,15,1,dss,2011.0
201002190,2011-06-15 12:00:00,4422 S ARTESIAN AVE,15,1,dss,2011.0
201100755,2011-06-15 12:00:00,2500 W 46TH ST,15,1,dss,2011.0
201100201,2011-06-16 12:00:00,4622 S DR MARTIN LUTHER KING JR DR,3,3,dss,2011.0
201000189,2011-06-16 12:00:00,4511 S MARSHFIELD AVE,15,1,dss,2011.0
201102001,2011-06-17 12:00:00,360 W 42ND PL,3,2,dss,2011.0
201101929,2011-06-17 12:00:00,5533 N BROADWAY,48,1,dss,2011.0
201006019,2011-06-17 12:00:00,8818 S COMMERCIAL AVE,10,1,dss,2011.0
201006020,2011-06-17 12:00:00,8820 S COMMERCIAL AVE,10,1,dss,2011.0
201005801,2011-06-20 12:00:00,609 E 42ND ST,4,1,dss,2011.0
201100597,2011-06-20 12:00:00,622 E 42ND ST,4,1,dss,2011.0
201100393,2011-06-20 12:00:00,806 E 41ST ST,4,1,dss,2011.0
201002019,2011-06-20 12:00:00,820 E PERSHING RD,4,1,dss,2011.0
201006165,2011-06-21 12:00:00,1401 E 55TH ST,5,1,dss,2011.0
201005390,2011-06-21 12:00:00,6731 S CREGIER AVE,5,1,dss,2011.0
201100190,2011-06-21 12:00:00,1435 E 55TH ST,5,1,dss,2011.0
201101435,2011-06-21 12:00:00,1442 E 55TH ST,5,1,dss,2011.0
201100192,2011-06-21 12:00:00,5535 S WOODLAWN AVE,5,1,dss,2011.0
201006164,2011-06-21 12:00:00,1400 E 55TH PL,5,1,dss,2011.0
201006171,2011-06-21 12:00:00,1322 E 56TH ST,5,1,dss,2011.0
201005843,2011-06-21 12:00:00,1326 E 56TH ST,5,1,dss,2011.0
201006166,2011-06-21 12:00:00,5525 S WOODLAWN AVE,5,1,dss,2011.0
201006186,2011-06-21 12:00:00,1351 E 56TH ST,5,1,dss,2011.0
201006175,2011-06-21 12:00:00,1420 E 57TH ST,5,1,dss,2011.0
201006187,2011-06-21 12:00:00,1425 E 57TH ST,5,1,dss,2011.0
201006162,2011-06-22 12:00:00,5484 S ELLIS AVE,5,1,dss,2011.0
201101525,2011-06-22 12:00:00,6825 S CLYDE AVE,5,1,dss,2011.0
201006174,2011-06-22 12:00:00,1400 E 57TH ST,5,1,dss,2011.0
201101433,2011-06-22 12:00:00,1420 E 55TH PL,5,1,dss,2011.0
201100856,2011-06-22 12:00:00,4424 S WASHTENAW AVE,15,1,dss,2011.0
201002470,2011-06-22 12:00:00,5642 S KIMBARK AVE,5,1,dss,2011.0
201001118,2011-06-22 12:00:00,4312 S TALMAN AVE,15,1,dss,2011.0
201100188,2011-06-22 12:00:00,1425 E 55TH PL,5,1,dss,2011.0
201006184,2011-06-22 12:00:00,5605 S WOODLAWN AVE,5,1,dss,2011.0
201006182,2011-06-23 12:00:00,1604 E 55TH ST,5,1,dss,2011.0
201006176,2011-06-23 12:00:00,5600 S HYDE PARK DR,5,1,dss,2011.0
201100206,2011-06-23 12:00:00,1451 E 55TH ST,5,1,dss,2011.0
201101431,2011-06-23 12:00:00,6818 S MERRILL AVE,5,2,dss,2011.0
201103438,2011-06-23 12:00:00,1315 E 56TH ST,5,1,dss,2011.0
201002178,2011-06-24 12:00:00,7046 S VERNON AVE,6,1,dss,2011.0
201100327,2011-06-24 12:00:00,7001 S DR MARTIN LUTHER KING JR DR,6,3,dss,2011.0
201100353,2011-06-24 12:00:00,9630 S CALUMET AVE,9,1,dss,2011.0
201100306,2011-06-24 12:00:00,7446 S RHODES AVE,6,1,dss,2011.0
201100011,2011-06-24 12:00:00,6928 S EBERHART AVE,6,1,dss,2011.0
201100010,2011-06-24 12:00:00,6958 S EBERHART AVE,6,1,dss,2011.0
201005761,2011-06-24 12:00:00,359 E 71ST ST,6,1,dss,2011.0
201002527,2011-06-24 12:00:00,6937 S CRANDON AVE,5,1,dss,2011.0
201000212,2011-06-24 12:00:00,6931 S LOWE AVE,6,1,dss,2011.0
201100332,2011-06-27 12:00:00,9220 S CLYDE AVE,7,1,dss,2011.0
201100142,2011-06-27 12:00:00,1042 E 81ST ST,8,3,dss,2011.0
201006149,2011-06-27 12:00:00,9211 S DREXEL AVE,8,1,dss,2011.0
201100729,2011-06-27 12:00:00,8917 S RIDGELAND AVE,8,1,dss,2011.0
201003019,2011-06-27 12:00:00,8901 S BENNETT AVE,8,1,dss,2011.0
201005855,2011-06-27 12:00:00,8758 S HARPER AVE,8,1,dss,2011.0
201101032,2011-06-27 12:00:00,8851 S DANTE AVE,8,1,dss,2011.0
201001846,2011-06-27 12:00:00,7759 S AVALON AVE,8,1,dss,2011.0
201100524,2011-06-27 12:00:00,9859 S DOBSON AVE,8,2,dss,2011.0
201100505,2011-06-27 12:00:00,2053 E 81ST ST,8,1,dss,2011.0
201101096,2011-06-27 12:00:00,7630 S PAXTON AVE,8,1,dss,2011.0
201006023,2011-06-28 12:00:00,8939 S COMMERCIAL AVE,10,1,dss,2011.0
201101242,2011-06-28 12:00:00,2542 E 93RD ST,7,1,dss,2011.0
201006027,2011-06-28 12:00:00,8824 S COMMERCIAL AVE,10,1,dss,2011.0
201101532,2011-06-28 12:00:00,13038 S AVENUE O,10,1,dss,2011.0
201006092,2011-06-28 12:00:00,8121 S KINGSTON AVE,7,1,dss,2011.0
201100815,2011-06-28 12:00:00,2650 E 95TH ST,7,3,dss,2011.0
201100648,2011-06-28 12:00:00,7934 S OGLESBY AVE,7,1,dss,2011.0
201003998,2011-06-28 12:00:00,7233 S PHILLIPS AVE,7,2,dss,2011.0
201100271,2011-06-29 12:00:00,10024 S PRAIRIE AVE,9,1,dss,2011.0
201004910,2011-06-29 12:00:00,12552 S YALE AVE,9,1,dss,2011.0
201100290,2011-06-29 12:00:00,6900 S BENNETT AVE,5,1,dss,2011.0
201101331,2011-06-29 12:00:00,11582 S PRAIRIE AVE,9,2,dss,2011.0
201100549,2011-06-29 12:00:00,6558 S INGLESIDE AVE,20,1,dss,2011.0
201004263,2011-06-29 12:00:00,633 E 101ST PL,9,1,dss,2011.0
201002740,2011-06-29 12:00:00,512 E 95TH ST,9,1,dss,2011.0
201100104,2011-06-29 12:00:00,2721 S TROY ST,12,9,dss,2011.0
201006025,2011-06-29 12:00:00,9008 S COMMERCIAL AVE,10,1,dss,2011.0
201006026,2011-06-29 12:00:00,8937 S COMMERCIAL AVE,10,1,dss,2011.0
201101677,2011-06-29 12:00:00,11325 S ST LAWRENCE AVE,9,1,dss,2011.0
201101473,2011-06-30 12:00:00,8307 S SOUTH SHORE DR,10,1,dss,2011.0
201100850,2011-06-30 12:00:00,2864 E 96TH ST,10,3,dss,2011.0
201100848,2011-06-30 12:00:00,3025 E 97TH ST,10,1,dss,2011.0
201005966,2011-06-30 12:00:00,2815 E 96TH ST,10,1,dss,2011.0
201101569,2011-06-30 12:00:00,2710 E 127TH ST,10,1,dss,2011.0
201005864,2011-06-30 12:00:00,11119 S AVENUE F,10,1,dss,2011.0
201100493,2011-06-30 12:00:00,12945 S COMMERCIAL AVE,10,1,dss,2011.0
201101607,2011-06-30 12:00:00,9800 S ESCANABA AVE,10,1,dss,2011.0
201005989,2011-06-30 12:00:00,8657 S COMMERCIAL AVE,10,2,dss,2011.0
201006018,2011-06-30 12:00:00,8652 S COMMERCIAL AVE,10,2,dss,2011.0
201101193,2011-07-01 12:00:00,12931 S MANISTEE AVE,10,1,dss,2011.0
