Park,Year,Region,Shade Trees,"OrnamentalTrees",Tree Total
Clybourn,2018,N,5,0,5
"Cole, Nat King",2016,S,0,3,3
"Cole, Nat King",2008,S,9,0,9
Coliseum,2013,C,0,1,1
Columbus,2014,C,453,21,474
Columbus,2013,C,83,0,83
Columbus,2012,C,14,7,21
Columbus,2010,C,13,9,22
Columbus,2009,C,32,14,46
Columbus,2008,C,1,0,1
Cooper,2014,S,13,0,13
Cooper,2011,S,10,0,10
Cornell,2018,S,1,0,1
Cornell Square,2017,C,75,0,75
Cosme,2017,S,43,0,43
Cosme,2016,S,2,1,3
Cotton Tail,2015,C,3,0,3
Cragin,2015,N,5,0,5
Cragin,2008,N,0,4,4
Cragin,2006,N,5,2,7
Crescent,2014,S,22,0,22
Crescent,2013,S,33,0,33
"Daley, Maggie",2019,C,0,31,31
Davis Square,2019,C,53,0,53
Davis Square,2010,C,0,7,7
Davis Square,2009,C,15,0,15
Dawes,2018,S,68,0,68
Dawes,2007,S,84,18,102
Dean,2012,C,0,1,1
Dean,2010,C,6,0,6
Dearborn,2020,C,0,1,1
Dejulio,2020,N,3,0,3
Dickinson,2017,N,17,0,17
Dickinson,2007,N,0,3,3
"Dixon, Lorraine",2020,S,22,0,22
"Dixon, Lorraine",2013,S,14,0,14
"Dixon, Lorraine",2012,S,35,2,37
Dooley,2019,S,7,0,7
Dougherty,2019,S,30,0,30
Douglas,2019,C,0,1,1
Douglas,2018,C,14,2,16
Douglas,2016,C,60,0,60
Douglas,2015,C,309,0,309
Douglas,2014,C,225,31,256
Douglas,2013,C,419,0,419
Douglas,2010,C,30,19,49
Douglas,2006,C,149,222,371
Dunbar,2015,C,76,0,76
Dunbar,2012,C,60,0,60
Dunham,2015,N,9,0,9
Dunham,2013,N,71,0,71
Dunham,2006,N,7,8,15
Durkin,2020,S,22,0,22
Durkin,2014,S,1,0,1
Durso,2010,C,13,0,13
Dvorak,2019,C,36,0,36
Dvorak,2009,C,10,0,10
Eckersall,2018,S,34,0,34
Eckhart,2016,C,16,0,16
Eckhart,2015,C,34,0,34
Eckhart,2009,C,3,6,9
Edgebrook,2018,N,35,0,35
Edison,2014,N,14,0,14
Edison,2007,N,0,1,1
Ehrler,2018,N,16,0,16
Ellis,2014,C,90,0,90
Ellis,2010,C,2,3,5
Elm,2016,S,2,0,2
Elm,2013,S,0,2,2
Elston,2018,N,6,0,6
Elston,2010,N,2,1,3
Emmerson,2020,N,4,0,4
Emmerson,2017,N,0,1,1
Emmerson,2008,N,1,5,6
Erhler,2010,N,13,12,25
Erie,2006,C,3,3,6
Euclid,2018,S,26,0,26
Euclid,2008,S,27,0,27
Eugene Field,2015,N,18,0,18
Eugene Field,2013,N,1,0,1
Eugene Field,2008,N,9,12,21
Evergreen,2019,N,1,0,1
Fellger,2018,N,5,0,5
Fernwood,2017,S,114,0,114
Fernwood,2008,S,42,13,55
Fernwood Parkway,2018,S,87,0,87
"Field, Eugene",2019,N,49,0,49
Fosco,2020,C,1,0,1
Foster,2019,S,157,0,157
Foster,2007,S,60,46,106
Franklin,2016,C,54,0,54
Franklin,2009,C,2,1,3
Fuller,2015,C,51,0,51
Gage,2018,S,192,0,192
Gage,2007,S,77,34,111
Galewood,2014,N,15,0,15
Garfield,2018,C,31,0,31
Garfield,2017,C,897,0,897
Garfield,2016,C,646,0,646
Garfield,2015,C,0,1,1
Garfield,2014,C,40,0,40
Garfield,2012,C,26,0,26
Garfield,2010,C,41,5,46
Garfield,2009,C,43,13,56
Garfield,2008,C,99,12,111
Garfield,2006,C,76,113,189
Garibaldi,2017,C,8,0,8
Garibaldi,2015,C,11,0,11
Gately,2020,S,25,0,25
Gately,2008,S,12,0,12
Gill,2008,N,1,3,4
Gill,2007,N,3,3,6
Gladstone,2013,N,3,0,3
Gladstone,2009,N,5,7,12
Goldberg,2018,N,3,0,3
Golden Gate,2018,S,30,0,30
Golden Gate,2011,S,10,0,10
Gompers,2019,N,106,0,106
Gompers,2012,N,1,3,4
Gompers,2010,N,3,4,7
Gompers,2008,N,24,28,52
Gooseberry,2018,N,4,0,4
Goudy Square,2008,C,0,1,1
Grand,2014,C,5,0,5
Grand Crossing,2018,S,122,0,122
Grand Crossing,2015,S,0,1,1
Grand Crossing,2010,S,12,0,12
Grand Crossing,2007,S,82,12,94
Grandparents,2014,N,42,0,42
Grandparent's,2009,N,5,6,11
Grant,2020,C,1,2,3
Grant,2019,C,1,2,3
Grant,2018,C,0,129,129
Grant,2017,C,34,0,34
Grant,2016,C,16,80,96
Grant,2015,C,26,14,40
Grant,2014,C,42,15,57
Grant,2013,C,35,6,41
Grant,2012,C,4,48,52
Grant,2011,C,9,348,357
Grant,2010,C,138,10,148
Grant,2009,C,74,216,290
Grant,2008,C,92,240,332
Grant,2007,C,23,134,157
Grant,2006,C,65,272,337
Graver,2014,S,40,0,40
Green Briar,2015,N,27,0,27
Green Briar,2010,N,1,0,1
"Green, Jeffery",2016,N,7,0,7
Greenbaum,2009,N,10,1,11
Greenbaum,2007,N,12,0,12
Gross,2017,N,18,0,18
Haas,2017,N,0,0,0
Haas,2010,N,6,1,7
Hale,2016,S,22,0,22
Hale,2015,S,46,0,46
Hale,2007,S,80,30,110
Hamilton,2020,S,0,1,1
Hamilton,2018,S,105,0,105
Hamlin,2018,N,24,0,24
Hamlin,2014,N,0,1,1
Hamlin,2011,N,0,2,2
Hamlin,2009,N,6,6,12
Hamlin,2008,N,1,0,1
Hamlin,2007,N,8,0,8
"Hansberry, Lorraine",2018,S,19,0,19
"Hansberry, Lorraine",2010,S,4,4,8
"Harding, Frederick",2010,C,6,0,6
"Harris, Harriet",2019,S,3,0,3
"Harris, Ryan",2018,S,45,0,45
Harrison,2020,C,1,0,1
Harrison,2017,C,68,0,68
Harrison,2010,C,20,0,20
Harrison,2009,C,1,0,1
Hartigan Beach,2018,N,16,0,16
Hartigan Beach,2015,N,2,0,2
Hasan,2018,S,2,0,2
Hayes,2019,S,138,0,138
Hayes,2015,S,16,0,16
Hazelnut,2010,C,0,3,3
Heritage Green,2018,C,1,0,1
Heritage Green,2017,C,0,0,0
Heritage Green,2016,C,1,0,1
Heritage Green,2010,C,0,4,4
Heritage Green,2009,C,8,0,8
Heritage Green,2007,C,0,6,6
Hermitage,2018,S,27,0,27
Hermosa,2016,N,13,0,13
Hermosa,2009,N,5,2,7
Hiawatha,2016,N,1,0,1
Hiawatha,2014,N,56,0,56
Hiawatha,2007,N,1,6,7
Hickory,2018,N,3,0,3
Hoard,2017,S,38,0,38
Hodes,2018,S,7,0,7
Holly,2020,C,3,0,3
Hollywood,2018,N,54,0,54
Holstein,2016,N,30,0,30
Holstein,2012,N,1,0,1
Homan Square,2014,C,15,0,15
Horan,2014,C,15,0,15
Horan,2009,C,5,0,5
Hornbeam,2020,C,1,0,1
Horner,2020,N,41,0,41
Horner,2019,N,2,0,2
Horner,2018,N,1,0,1
Horner,2014,N,1,0,1
Horner,2013,N,1,2,3
Horner,2012,N,100,0,100
Horner,2008,N,5,9,14
"Houston, Ma",2018,C,37,0,37
Howard Beach,2018,N,8,0,8
Hoyne,2017,C,11,0,11
Hoyne,2010,C,1,2,3
Hubbard,2014,C,4,0,4
Hubbard,2010,C,3,3,6
Humbert,2019,C,4,0,4
Humboldt,2019,C,5,0,5
Humboldt,2018,C,2,0,2
Humboldt,2017,C,3,1,4
Humboldt,2016,C,936,0,936
Humboldt,2015,C,259,0,259
Humboldt,2014,C,4,2,6
Humboldt,2013,C,118,0,118
Humboldt,2012,C,269,0,269
Humboldt,2011,C,2,0,2
Humboldt,2010,C,9,3,12
Humboldt,2009,C,79,60,139
Humboldt,2006,C,93,105,198
Independence,2020,N,0,1,1
Independence,2019,N,11,0,11
Independence,2018,N,0,2,2
Independence,2015,N,9,0,9
Independence,2012,N,8,0,8
Independence,2008,N,53,30,83
Independence,2007,N,3,5,8
Indian Boundary,2015,N,1,0,1
Indian Boundary,2014,N,104,0,104
Indian Boundary,2012,N,4,0,4
Indian Boundary,2009,N,1,0,1
Indian Boundary,2008,N,6,11,17
Indian Boundary,2007,N,1,15,16
Indian Road,2020,N,1,0,1
Indian Road,2014,N,25,0,25
Indian Road,2007,N,0,5,5
Jackson,2020,S,2,0,2
Jackson,2018,S,1,0,1
Jackson,2018,S,27,0,27
Jackson,2017,S,0,0,0
Jackson,2017,S,0,0,0
Jackson,2019,S,5,4,9
"Jackson, Andrew",2016,S,1,30,31
"Jackson, Andrew",2014,S,25,15,40
"Jackson, Andrew",2013,S,112,163,275
"Jackson, Andrew",2012,S,28,0,28
"Jackson, Andrew",2011,S,18,24,42
"Jackson, Andrew",2010,S,17,24,41
"Jackson, Andrew",2008,S,0,2,2
"Jackson, Andrew",2007,S,24,146,170
"Jackson, Mahalia",2019,S,31,0,31
"Jackson, Mahalia",2008,S,15,6,21
Jacolik,2017,C,5,0,5
Jefferson,2008,C,22,4,26
Jefferson,2006,C,11,16,27
Jefferson Memorial,2016,N,54,0,54
"Jefferson, Thomas",2017,C,23,0,23
Jensen,2010,N,6,0,6
Jonquil,2018,N,7,0,7
Jonquil,2017,N,1,0,1
Jonquil,2015,N,1,0,1
Juneway,2009,N,3,0,3
Juniper,2008,N,0,1,1
Kells,2017,C,19,0,19
Kells,2010,C,3,0,3
"Kelly, John",2009,N,3,3,6
"Kelly, John",2008,N,10,5,15
"Kelly, Edward",2016,C,4,0,4
"Kelly, Edward",2015,C,20,0,20
"Kelly, Edward",2010,C,1,2,3
"Kelly, Edward",2007,C,12,3,15
"Kelly, John",2017,N,7,0,7
"Kelly, John",2007,N,10,5,15
Kelvyn,2017,N,127,0,127
Kelvyn,2009,N,5,21,26
Kelvyn,2008,N,10,5,15
Kennedy,2014,S,60,0,60
Kennedy,2011,S,24,16,40
Kennicott,2015,C,3,1,4
Kennicott,2010,C,24,13,37
Kensington,2018,S,16,0,16
Kensington,2011,S,22,6,28
Ken-Well,2015,N,14,0,14
Ken-Well,2007,N,2,4,6
Kenwood,2016,C,9,1,10
Kenwood,2015,C,18,0,18
Kenwood,2009,C,8,0,8
Kilbourn,2015,N,49,0,49
Kilbourn,2007,N,4,11,15
"King, ML",2018,S,10,0,10
"King, ML Center",2015,S,50,0,50
Kinzie Pkwy,2014,C,8,0,8
Kiwanis,2017,N,9,0,9
Kolmar,2019,N,2,0,2
Kolmar,2016,N,0,3,3
Kolmar,2010,N,2,0,2
Korczak,2017,N,6,0,6
Kosciusko,2008,N,6,11,17
Kosciusko,2007,N,0,5,5
Kosciuszko,2019,N,44,7,51
Kosciuszko,2017,N,2,0,2
Kosciuszko,2013,N,4,0,4
Kosciuszko,2006,N,2,5,7
Krause,2018,S,2,0,2
Kucinski-Murphy,2015,C,12,0,12
Kucinski-Murphy,2010,C,3,3,6
La Villita,2020,C,1,0,1
La Villita,2018,C,13,0,13
LaFollette,2015,C,96,0,96
LaFollette,2009,C,3,6,9
Lake Meadows,2016,C,49,0,49
Lake Shore,2019,C,27,0,27
Lake Shore,2014,C,0,2,2
Lake Shore,2011,C,0,2,2
Lake Shore,2008,C,1,0,1
Lamb,2019,S,24,0,24
Lane Beach,2010,N,2,1,3
Langdon,2018,N,8,0,8
Langley,2018,S,9,0,9
Lawler,2014,S,21,0,21
LeClaire-Hearst,2016,C,7,0,7
LeClaire-Hearst,2014,C,65,0,65
Legion,2019,N,306,0,306
Legion,2019,N,96,0,96
Legion,2008,N,48,42,90
Legion,2007,N,48,67,115
Leland Giants,2019,S,53,0,53
Leone Beach,2016,N,10,0,10
Lerner,2014,N,137,0,137
Lerner,2008,N,26,29,55
Levin,2014,C,17,0,17
Levin,2013,C,55,0,55
Lily Gardens,2018,S,48,0,48
Limas,2019,C,10,0,10
Lincoln,2020,N,540,5,545
Lincoln,2019,N,60,13,73
Lincoln,2018,N,16,7,23
Lincoln,2017,N,27,3,30
Lincoln,2016,N,158,9,167
Lincoln,2015,N,292,7,299
Lincoln,2014,N,97,8,105
Lincoln,2013,N,85,139,224
Lincoln,2012,N,228,327,555
Lincoln,2011,N,382,45,427
Lincoln,2010,N,209,30,239
Lincoln,2009,N,600,89,689
Lincoln,2008,N,87,45,132
Lincoln,2007,N,45,8,53
Lindblom,2018,S,155,0,155
Lindblom,2007,S,10,18,28
Linden,2020,C,4,0,4
Linden,2015,C,4,0,4
Little Venice,2015,C,13,0,13
Little Venice,2010,C,14,6,20
Logan Square DFA,2017,N,0,8,8
London,2014,C,2,0,2
Lowe,2015,S,27,0,27
Loyola,2020,N,2,3,5
Loyola,2019,N,0,1,1
Loyola,2016,N,129,0,129
Loyola,2012,N,2,0,2
Loyola,2007,N,3,6,9
Luella,2018,S,10,0,10
Lunt,2013,N,1,0,1
Lunt,2011,N,0,1,1
Major Tailor Trail,2014,S,68,0,68
Major Taylor Trail,2019,S,10,0,10
Major Taylor Trail,2016,S,40,0,40
Major Taylor Trail,2013,S,25,0,25
Malus,2018,S,7,0,7
Mandrake,2015,C,23,0,23
Mann,2018,S,66,0,66
Mann,2012,S,18,0,18
Maplewood,2020,N,1,0,1
Maplewood,2019,N,4,0,4
Maplewood,2013,C,0,1,1
Maplewood,2012,C,3,0,3
Maplewood,2011,C,0,2,2
Maplewood,2010,C,2,0,2
Marquette,2019,S,0,1,1
Marquette,2015,S,143,0,143
Marquette,2014,S,1,0,1
Marquette,2011,S,82,0,82
Marquette,2010,S,1015,0,1015
Marquette,2007,S,141,56,197
Marshfield,2017,S,23,0,23
Martin,2019,N,3,0,3
Mason,2015,C,21,0,21
Mason,2010,C,0,1,1
Matanky,2018,N,5,0,5
Mather,2018,N,94,0,94
Mather,2010,N,2,1,3
Mather,2009,N,6,9,15
Mayfair,2015,N,14,0,14
McGuane,2016,C,56,0,56
McGuane,2010,C,4,0,4
McGuane,2008,C,0,1,1
McInerney,2019,C,15,2,17
McInerney,2010,C,8,4,12
McKeon,2015,C,8,0,8
McKeon,2010,C,2,0,2
McKiernan,2014,S,16,0,16
McKinley,2019,C,1,0,1
McKinley,2017,C,376,0,376
McKinley,2015,C,10,0,10
McKinley,2011,C,53,23,76
McKinley,2009,C,171,157,328
McKinley,2008,C,4,0,4
Memorial,2018,S,24,0,24
Memorial,2010,S,13,0,13
Merrill,2010,S,25,0,25
Merrimac,2014,N,58,0,58
Merrimac,2012,N,1,0,1
Merrimac,2006,N,11,3,14
Metcalfe,2015,C,41,0,41
Meyering,2018,S,19,0,19
Miami,2019,C,5,0,5
Micek,2020,S,9,0,9
Midway Plaisance,2019,S,12,12,24
Midway Plaisance,2018,S,1,0,1
Midway Plaisance,2016,S,2,0,2
Midway Plaisance,2015,S,155,0,155
Midway Plaisance,2013,S,7,0,7
Minuteman,2015,S,47,0,47
Minuteman,2007,S,21,28,49
Miscellaneous,2006,,80,94,174
Moccasin Ranch,2018,S,4,0,4
Monument,2014,N,11,0,11
Moore,2015,C,23,0,23
Moore,2009,C,0,3,3
Moran,2017,S,18,0,18
Morgan Field,2014,S,13,0,13
Morgan Field,2011,S,21,0,21
Mount Greenwood,2019,S,18,0,18
Mount Greenwood,2014,S,35,0,35
Mount Greenwood,2013,S,120,0,120
Mount Greenwood,2008,S,5,0,5
Mozart,2018,N,40,0,40
Mozart,2009,N,5,9,14
Mulberry,2017,C,10,0,10
Mulberry,2010,C,0,2,2
Munroe,2019,S,15,0,15
Murray,2018,S,11,0,11
Museum Campus,2012,C,1,0,1
Museum Campus,2010,C,1,45,46
Myrtle Grove,2014,N,33,0,33
Nelson,2006,N,1,1,2
Nichols,2019,S,0,13,13
Nichols,2015,S,30,0,30
Nichols,2008,S,1,6,7
Nichols,2007,S,3,10,13
Ninebark,2015,C,1,0,1
Normandy,2014,S,8,0,8
Normandy,2012,S,0,1,1
North Park Nature Center,2015,N,65,0,65
North Park Nature Center,2014,N,38,0,38
North Park Nature Center,2012,N,0,1,1
North Park Village NC,2019,N,40,44,84
Northerly Island,2020,C,7,0,7
Northerly Island,2018,C,1,0,1
Northerly Island,2017,C,1,0,1
Northerly Island,2015,C,1,0,1
Northerly Island,2013,C,1,2,3
Northerly Island,2008,C,0,27,27
Norwood,2020,N,1,0,1
Norwood,2019,N,0,1,1
Norwood,2014,N,53,0,53
Norwood,2011,N,0,4,4
Norwood,2007,N,2,4,6
Nottingham,2020,S,3,0,3
Norwood Circle,2014,N,29,0,29
O’Hallaren,2007,S,22,15,37
Oakdale,2018,S,67,0,67
Oakdale,2008,S,24,7,31
Ogden,2018,S,0,1,1
Ogden,2015,S,103,0,103
Ogden,2014,S,130,0,130
Ogden,2007,S,100,140,240
Olympia,2020,N,0,1,1
Olympia,2014,N,62,0,62
Olympia,2012,N,1,0,1
Olympia,2008,N,1,1,2
Oriole,2014,N,90,0,90
Oriole,2009,N,5,5,10
Orr,2020,C,9,0,9
Owens,2017,S,199,0,199
Oz,2020,N,2,0,2
Oz,2019,N,2,0,2
Oz,2017,N,33,0,33
Oz,2017,N,2,0,2
Oz,2016,N,3,0,3
Oz,2015,N,1,1,2
Oz,2014,N,1,0,1
Oz,2011,N,2,1,3
Oz,2009,N,1,2,3
Palmer,2015,S,65,0,65
Palmer,2012,S,167,0,167
Palmer Square,2018,N,65,15,80
Palmer Square,2015,N,0,1,1
Palmer Square,2014,N,4,0,4
Palmer Square,2010,N,7,0,7
Palmisano,2010,C,62,0,62
Palmisano,2008,C,8,35,43
Park 399,2014,C,2,0,2
Park 414,2020,C,3,0,3
Park 421,2020,S,9,0,9
Park 422,2010,C,3,6,9
Park 489,2010,C,2,0,2
Park 500,2014,C,7,0,7
Park 503,2014,S,95,0,95
Park 534,2020,C,14,0,14
Park 538,2020,N,5,0,5
Park 540,2020,C,26,0,26
Park 542,2011,C,1,0,1
Park 551,2010,C,8,0,8
Park 556,2015,N,10,0,10
Park 574,2020,S,15,0,15
Park 578,2017,C,10,0,10
Park 581,2020,S,16,0,16
Park 587,2019,S,3,0,3
Park 588,2020,S,1,0,1
Park 590,2019,C,8,0,8
Park 591,2019,C,10,0,10
Park 592,2019,C,14,0,14
Parkview,2008,N,3,0,3
Parkview,2006,N,0,3,3
Parsons,2017,N,1,0,1
Pasteur,2015,S,39,0,39
Pasteur,2007,S,0,18,18
Periwinkle,2017,S,7,0,7
Peterson,2019,N,108,0,108
Peterson,2012,N,0,1,1
Peterson,2008,N,10,15,25
Ping Tom,2008,C,1,0,1
Piotrowski,2014,C,87,0,87
Piotrowski,2010,C,8,3,11
Pleasant Point,2014,N,23,0,23
Pleasant Point,2009,N,4,9,13
Portage,2019,N,0,1,1
Portage,2018,N,2,0,2
Portage,2017,N,3,0,3
Portage,2014,N,200,0,200
Portage,2011,N,0,2,2
Portage,2010,N,2,3,5
Portage,2008,N,12,6,18
Portage,2007,N,1,18,19
Portage,2006,N,23,22,45
Pottawatomie,2007,N,1,1,2
Pottawattomie,2018,N,41,0,41
Pritzker,2010,C,4,6,10
Prospect Gardens,2014,S,32,0,32
Prospect Gardens,2010,S,26,0,26
Pulaski,2015,C,14,0,14
Pulaski,2007,C,6,0,6
Pullman,2020,S,2,0,2
Pullman,2018,S,5,0,5
Railroad Junction,2018,S,3,0,3
Rainbow Beach,2018,S,434,0,434
Rainbow Beach,2012,S,59,11,70
Rainbow Beach,2011,S,1,0,1
Rainbow Beach,2007,S,91,92,183
Rainey,2020,S,46,0,46
Ravenswood Manor,2019,N,5,2,7
Ravenswood Manor,2007,N,0,3,3
Revere,2018,N,1,0,1
Revere,2015,N,30,0,30
Revere,2008,N,11,39,50
Ridge,2014,S,44,0,44
Riis,2016,N,102,0,102
Riis,2015,N,215,0,215
Riis,2010,N,0,3,3
Riis,2009,N,4,0,4
Riis,2006,N,21,18,39
River,2019,N,111,0,111
River,2013,N,1,0,1
River,2009,N,4,0,4
River,2007,N,23,26,49
Roberts Square,2016,N,72,0,72
Roberts Square,2009,N,16,28,44
Robichaux,2017,S,95,0,95
Robichaux,2008,S,30,3,33
"Robinson, Jackie",2014,S,51,0,51
"Robinson, Jackie",2008,S,19,0,19
Rogers,2017,N,123,0,123
Rogers,2009,N,4,5,9
Rogers,2008,N,25,14,39
Rogers Beach,2018,N,11,0,11
Ronan,2018,N,88,0,88
Ronan,2009,N,2,3,5
Ronan,2007,N,3,14,17
Roosevelt,2017,C,5,0,5
Roosevelt,2015,C,17,0,17
Rosedale,2014,N,12,0,12
Rosenblum,2018,S,28,0,28
Rosenblum,2007,S,36,0,36
Rowan,2016,S,140,1,141
Rowan,2012,S,72,5,77
Russell Square,2018,S,128,0,128
Rutherford Sayre,2020,N,0,1,1
Rutherford Sayre,2014,N,137,10,147
Rutherford Sayre,2008,N,33,8,41
Rutherford-Sayre,2009,N,0,20,20
Sacramento,2017,N,10,0,10
Sauganash,2018,N,19,0,19
Sauganash,2015,N,0,12,12
Sauganash,2010,N,0,6,6
Sauganash,2008,N,1,0,1
Schreiber,2018,N,18,0,18
Schreiber,2009,N,5,13,18
Scottsdale,2020,S,5,0,5
Senior Citizens Memorial,2017,N,2,0,2
Senka,2017,S,192,0,192
Senn,2018,N,13,0,13
Senn,2012,N,1,6,7
Seward,2015,C,34,0,34
Seward,2010,C,19,0,19
Shabbona,2014,N,123,0,123
Shabbona,2009,N,8,3,11
Shedd,2015,C,9,0,9
Shedd,2010,C,2,0,2
Sheridan,2019,C,13,0,13
Sheridan,2017,C,11,0,11
Sheridan,2014,C,16,0,16
Sheridan,2011,C,1,5,6
Sherman,2019,S,173,0,173
Sherman,2015,S,1,0,1
Sherman,2007,S,78,36,114
Sherwood,2020,S,27,0,27
Sherwood,2014,S,7,0,7
Sherwood,2007,S,16,9,25
Simons,2018,N,18,0,18
Skinner,2016,C,10,18,28
Skinner,2015,C,23,0,23
Skinner,2006,C,4,59,63
Skinner DFA,2016,C,4,0,4
"Smith, Joseph H.",2016,C,18,1,19
"Smith, Joseph H.",2015,C,37,0,37
"Smith, Joseph H.",2012,C,4,0,4
"Smith, Joseph H.",2007,C,10,6,16
"Smith, Joseph H.",2006,C,3,22,25
"Smith, Wendell",2018,S,32,0,32
"Smith, Wendell",2011,S,0,3,3
"Smith, Wendell",2008,S,10,0,10
South Lakeview,2016,N,3,0,3
